iShares Russell 1000 ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"120,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","83,985,175.00","0.20","83,985,175.00","571,250.00","147.02","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","83,162,443.92","0.20","83,162,443.92","418,238.00","198.84","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","83,159,002.17","0.20","83,159,002.17","260,613.00","319.09","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","81,491,588.80","0.20","81,491,588.80","448,940.00","181.52","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","81,255,772.80","0.19","81,255,772.80","195,120.00","416.44","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","80,509,637.44","0.19","80,509,637.44","245,876.00","327.44","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","80,167,899.60","0.19","80,167,899.60","1,205,895.00","66.48","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","80,113,300.12","0.19","80,113,300.12","90,173.00","888.44","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","80,053,036.50","0.19","80,053,036.50","784,065.00","102.10","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","79,838,277.98","0.19","79,838,277.98","916,207.00","87.14","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","78,476,614.70","0.19","78,476,614.70","181,210.00","433.07","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","77,277,434.70","0.19","77,277,434.70","438,827.00","176.10","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","76,232,584.15","0.18","76,232,584.15","557,215.00","136.81","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","75,906,539.52","0.18","75,906,539.52","88,247.00","860.16","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","75,496,759.52","0.18","75,496,759.52","256,984.00","293.78","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","75,152,272.65","0.18","75,152,272.65","786,523.00","95.55","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","74,140,375.64","0.18","74,140,375.64","745,804.00","99.41","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","72,969,014.40","0.17","72,969,014.40","2,575,680.00","28.33","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","72,867,413.18","0.17","72,867,413.18","1,053,454.00","69.17","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","72,443,444.14","0.17","72,443,444.14","343,627.00","210.82","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","72,150,299.55","0.17","72,150,299.55","555,045.00","129.99","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","70,546,493.74","0.17","70,546,493.74","812,654.00","86.81","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","68,749,175.16","0.16","68,749,175.16","292,749.00","234.84","United States","NASDAQ","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","68,194,629.12","0.16","68,194,629.12","271,616.00","251.07","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","67,276,890.52","0.16","67,276,890.52","223,148.00","301.49","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","67,158,657.00","0.16","67,158,657.00","69,739.00","963.00","United States","NASDAQ","USD","1.00","USD","-"
