Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
AZO,Autozone,48088644000,19.68,144.59,2528430000,0.71,N/A,0.00%,2024-05-21
AZPN,"Aspen Technology",12549075000,36.02,5.54,-107760000.,0.73,N/A,0.00%,2024-08-06
AZTA,"Azenta Inc",2816814000,157.42,0.33,-14260000.,1.51,N/A,0.00%,2024-08-13
BA,"Boeing Company",113464176000,0,-5.68,-2222000000.,1.56,N/A,0.00%,2024-07-31
BAC,"Bank of America Corp",316021184000,12.36,3.31,26515000000,1.35,0.96,2.38%,2024-07-16
BAH,"Booz Allen Hamilton Holding Corp",19758802000,28.09,5.5,605710000,0.57,1.96,1.28%,2024-07-26
BALL,"Ball Corporation",18510944000,20.7,2.9,707000000,0.85,0.8,1.34%,2024-08-01
BAX,"Baxter International Inc",17789438000,12.01,2.76,2656000000,0.57,1.16,3.32%,2024-07-25
BBWI,"Bath & Body Works Inc",8257315000,11.36,3.32,878000000,1.85,0.8,2.16%,2024-08-28
BBY,"Best Buy Company",17785618000,12.8,6.43,1241000000,1.48,3.72,4.51%,2024-05-30
BC,"Brunswick Corp",4693204000,9.2,7.57,420400000,1.52,1.64,2.36%,2024-07-25
BDX,"Becton Dickinson and Company",65824008000,18.71,12.23,1484000000,0.42,3.76,1.65%,2024-08-01
BEN,"Franklin Resources",11621350000,8.37,2.68,882800000,1.43,1.23,5.57%,2024-07-26
BEPC,"Brookfield Renewable Corp",5182671000,0,-0.46,-181000000.,1.18,1.385,4.80%,2024-08-02
BERY,"Berry Global Group",6636344000,8.04,7.35,609000000,1.16,1.075,1.85%,2024-08-14
BF.A,"Brown Forman Inc Cl A",20414184000,19.96,2.14,1024000000,0.73,0.859,1.99%,2024-06-05
BFAM,"Bright Horizons Family Solutions Inc",6465126000,44.56,2.47,74220000,1.45,N/A,0.00%,2024-08-06
BF.B,"Brown Forman Inc Cl B",20036058000,19.56,2.14,1024000000,0.73,0.859,2.03%,2024-06-05
BG,"Bunge Ltd",15375801000,8.13,13.45,2243000000,0.67,2.668,2.46%,2024-07-31
BHF,"Brighthouse Financial Inc",2669531000,2.84,15.48,-1112000000.,1.09,N/A,0.00%,2024-08-13
BIIB,"Biogen Inc",32853962000,14.97,15,1161100000,-0.04,N/A,0.00%,2024-08-01
BILL,"Bill Holdings Inc",5591298000,204.46,0.26,-223730000.,1.61,N/A,0.00%,2024-08-15
BIO,"Bio-Rad Laboratories",7899711000,25.19,10.72,-637320000.,0.93,N/A,0.00%,2024-08-01
BIRK,"Birkenstock Holding Plc",10634878000,0,0.35,80180000,N/A,N/A,0.00%,2024-05-30
BJ,"Bj's Wholesale Club Holdings Inc",11674410000,22.02,3.91,523740000,0.23,N/A,0.00%,2024-08-27
BK,"Bank of New York Mellon Corp",44779220000,11.58,5.22,3286000000,1.09,1.68,2.81%,2024-07-12
BKNG,"Booking Holdings Inc",133342128000,24.13,162.33,4289000000,1.38,17.5,0.45%,2024-08-01
BKR,"Baker Hughes Company",34151492000,19.7,1.75,1943000000,1.41,0.82,2.40%,2024-07-25
BLD,"Topbuild Corp",11990931000,18.79,20.18,614250000,1.76,N/A,0.00%,2024-08-01
BLDR,"Builders Firstsource",16184758000,9.38,14.33,1540560000,2.04,N/A,0.00%,2024-08-07
BLK,"Blackrock Inc",117483160000,19.9,39.66,5502000000,1.32,20.2,2.56%,2024-07-15
BMRN,"Biomarin Pharmaceuticals",15465726000,59.98,1.35,167650000,0.32,N/A,0.00%,2024-07-29
BMY,"Bristol-Myers Squibb Company",80394784000,38.15,1.05,8025000000,0.44,2.94,7.41%,2024-07-26
BOKF,"Bok Financial Corp",5695383000,11.3,8,530750000,1.19,2.19,2.48%,2024-07-22
BPOP,"Popular Inc",6189375000,11.18,7.81,541340000,0.8,2.41,2.81%,2024-07-24
BR,"Broadridge Financial Solutions Llc",23886540000,26.78,7.45,630600000,1.04,3.2,1.58%,2024-08-13
BRBR,"Bellring Brands Inc Cl A",7905605000,36.26,1.63,165500000,0.84,N/A,0.00%,2024-08-05
BRK.B,"Berkshire Hathaway Cl B",886150784000,21.71,18.69,96223000000,0.86,N/A,0.00%,2024-08-02
BRKR,"Bruker Corp",8959903000,25.03,2.47,427200000,1.2,0.2,0.32%,2024-08-01
BRO,"Brown & Brown",25820738000,28.95,3.11,870500000,0.82,0.505,0.56%,2024-07-22
BROS,"Dutch Bros Inc Cl A",7461008000,207.6,0.2,1720000,2.53,N/A,0.00%,2024-08-13
BRX,"Brixmor Property Group Inc",6809358000,10.98,0.93,305090000,1.57,1.078,4.77%,2024-07-29
BSX,"Boston Scientific Corp",112086128000,35.57,2.14,1591000000,0.78,N/A,0.00%,2024-07-24
BSY,"Bentley Systems Inc Cl B",14273150000,62.61,0.79,326710000,1.03,0.22,0.44%,2024-08-13
BURL,"Burlington Stores Inc",15042511000,35.08,6.66,339650000,1.61,N/A,0.00%,2024-08-22
BWA,"Borgwarner Inc",7135886000,7.49,4.26,625000000,1.22,0.44,1.40%,2024-07-31
BWXT,"Bwx Technologies Inc",8693909000,30.9,3.09,245850000,0.69,0.94,0.99%,2024-08-05
BX,"Blackstone Inc",87701360000,31.16,3.96,1390880000,1.5,3.36,2.74%,2024-07-18
BXP,"Bxp Inc",9470658000,8.46,1.22,190220000,1.18,3.92,6.50%,2024-08-06
BYD,"Boyd Gaming Corp",5128101000,8.83,6.11,620020000,1.58,0.66,1.22%,2024-07-25
C,"Citigroup Inc",122133376000,12.14,5.31,9228000000,1.46,2.12,3.31%,2024-07-12
CACC,"Credit Acceptance",6316613000,12.74,40.73,286100000,1.44,N/A,0.00%,2024-08-06
CACI,"Caci International",9430535000,21.61,19.76,384740000,0.92,N/A,0.00%,2024-08-14
CAG,"Conagra Brands Inc",13500499000,10.5,2.68,683600000,0.32,1.4,4.96%,2024-07-11
CAH,"Cardinal Health",23355640000,13.33,7.18,261000000,0.61,2.007,2.09%,2024-08-20
CAR,"Avis Budget Group",3748281000,3.39,31.68,1632000000,2.21,N/A,0.00%,2024-07-29
CARR,"Carrier Global Corp",56980000000,22.42,2.83,1349000000,1.32,0.755,1.19%,2024-07-25
CART,"Maplebear Inc [Instacart]",9126822000,0,-19.99,-1622000000.,N/A,N/A,0.00%,2024-08-14
CASY,"Casey's General Stor",13707319000,27.57,13.43,501970000,0.8,1.72,0.47%,2024-06-11
CAT,"Caterpillar Inc",160580560000,15.1,21.9,10335000000,1.12,5.2,1.58%,2024-08-06
CAVA,"Cava Group Inc",10831519000,231.51,0.41,13280000,N/A,N/A,0.00%,2024-08-20
CB,"Chubb Ltd",102534464000,10.78,23.58,9028000000,0.66,3.49,1.38%,2024-07-23
CBOE,"CBOE Global Markets Inc",17841478000,21.23,8.05,761400000,0.65,2.2,1.30%,2024-08-02
CBRE,"CBRE Group Inc",26758120000,23.62,3.7,986000000,1.4,N/A,0.00%,2024-07-25
CBSH,"Commerce Bancshares",7127071000,15.47,3.58,477060000,0.76,1.067,1.94%,2024-07-18
CC,"Chemours Company",3292069000,9.57,2.37,-238000000.,1.8,1,4.52%,2024-07-25
CCCS,"CCC Intelligent Solutions Hldgs Inc",6911414000,92.5,0.12,-92480000.,0.62,N/A,0.00%,2024-08-06
CCI,"Crown Castle Inc",41744624000,13.13,3.2,1502000000,0.83,6.26,6.52%,2024-07-17
CCK,"Crown Cork & Seal Company",8636541000,12.8,5.67,450000000,0.85,0.98,1.37%,2024-07-22
CCL,"Carnival Corp",19317448000,22.96,0.76,-75000000.,2.68,N/A,0.00%,2024-06-25
CDNS,"Cadence Design Sys",87477752000,81.73,3.86,1041140000,1.03,N/A,0.00%,2024-07-22
CDW,"CDW Corp",29070288000,23.1,9.44,1104300000,1.04,2.45,1.13%,2024-08-07
CE,"Celanese Corp",14436699000,14.99,8.99,1960000000,1.3,2.8,2.12%,2024-08-01
CEG,"Constellation Energy Corp",66606000000,32.17,6.53,1623000000,0.71,1.269,0.60%,2024-08-01
CELH,"Celsius Holdings Inc",13336895000,63.21,0.91,226800000,1.9,N/A,0.00%,2024-08-13
CERE,"Cerevel Therapeutics Hldg Inc",7462708000,0,-2.73,-432840000.,1.4,N/A,0.00%,2024-08-07
CERT,"Certara Inc",2287159000,51.26,0.27,-55360000.,1.52,N/A,0.00%,2024-08-06
CF,"Cf Industries Holdings",12820329000,11.53,6.07,1525000000,0.95,1.8,2.57%,2024-08-07
CFG,"Citizens Financial Group Inc/Ri",16034905000,13.06,2.76,1608000000,1.1,1.68,4.77%,2024-07-17
CFLT,"Confluent Inc Cl A",9315743000,0,-1.08,-442750000.,0.91,N/A,0.00%,2024-08-07
CFR,"Cullen/Frost Bankers",6280185000,10.73,9.18,597970000,1.03,3.68,3.77%,2024-07-25
CG,"The Carlyle Group",14499606000,11.21,3.62,-608400000.,1.75,1.4,3.47%,2024-08-07
CGNX,"Cognex Corp",8116180000,81.31,0.58,113230000,1.42,0.295,0.62%,2024-08-01
CHD,"Church & Dwight Company",26063704000,32.27,3.27,755600000,0.52,1.113,1.04%,2024-08-02
CHDN,"Churchill Downs IN",10259092000,27.45,5.1,417300000,0.97,0.382,0.27%,2024-07-24
CHE,"Chemed Inc",8145080000,25.34,21.31,272510000,0.43,1.6,0.30%,2024-07-24
CHH,"Choice Hotels International",5715383000,18.7,6.29,258510000,1.23,1.15,0.97%,2024-08-13
CHK,"Chesapeake Energy Corp",10786561000,23.23,3.6,2419000000,0.47,2.44,2.96%,2024-08-06
CHRD,"Chord Energy Corp",7066964000,9.12,19.04,1023780000,1.01,10.05,5.93%,2024-08-07
CHRW,"C.H. Robinson Ww",10127546000,28.23,3.1,325130000,0.8,2.44,2.82%,2024-08-07
CHTR,"Charter Communications Inc",43466808000,9.74,30.92,4557000000,1.04,N/A,0.00%,2024-07-26
CI,"The Cigna Group",90653696000,12.44,26.16,5164000000,0.52,5.26,1.65%,2024-08-01
CIEN,"Ciena Corp",6721083000,33.54,1.4,254830000,0.95,N/A,0.00%,2024-08-29
CINF,"Cincinnati Financial",18113758000,16.99,6.87,1843000000,0.65,3.12,2.70%,2024-07-25
CIVI,"Civitas Resources Inc",6769155000,8.55,8.22,784290000,1.47,6.28,9.29%,2024-08-01
CL,"Colgate-Palmolive Company",79623800000,28.54,3.36,2300000000,0.39,1.94,2.00%,2024-07-26
CLF,"Cleveland-Cliffs Inc",7436445000,11.73,1.36,399000000,2.03,N/A,0.00%,2024-07-22
CLH,"Clean Harbors",12004852000,32.41,6.92,377860000,1.21,N/A,0.00%,2024-08-07
CLVT,"Clarivate Analytics Plc",3735450000,8.42,0.67,-911200000.,1.15,N/A,0.00%,2024-08-01
CLX,"Clorox Company",16544326000,21.97,6.03,149000000,0.39,4.8,3.60%,2024-08-07
CMA,"Comerica Inc",6620070000,7.63,6.6,881000000,1.25,2.84,5.69%,2024-07-19
CMCSA,"Comcast Corp A",148548480000,9.3,4.09,15389000000,1,1.2,3.17%,2024-07-23
CME,"CME Group Inc",70716768000,20.81,9.42,3226200000,0.52,9.75,4.96%,2024-07-24
CMG,"Chipotle Mexican Grill",86177712000,64.5,0.96,1228740000,1.24,N/A,0.00%,2024-07-24
CMI,"Cummins Inc",36469648000,14.21,19.15,735000000,0.99,6.72,2.52%,2024-08-01
CMS,"Cms Energy Corp",17564912000,17.42,3.38,887000000,0.38,2.005,3.40%,2024-07-25
CNA,"CNA Financial Corp",12140675000,9.38,4.82,1205000000,0.64,3.72,8.31%,2024-07-29
CNC,"Centene Corp",35418752000,9.8,6.81,2702000000,0.5,N/A,0.00%,2024-07-26
CNH,"CNH Industrial N.V.",12134701000,5.87,1.69,2371000000,1.55,0.47,4.87%,2024-07-26
CNM,"Core & Main Inc Cl A",9740542000,22.85,2.14,371000000,1.06,N/A,0.00%,2024-06-04
CNP,"Centerpoint Energy Inc",19505184000,19.57,1.55,917000000,0.92,0.79,2.59%,2024-07-30
CNXC,"Concentrix Corp",4189832000,6.36,10.38,313840000,0.6,1.183,1.86%,2024-06-26
COF,"Capital One Financial Corp",51707200000,10.31,13.42,4887000000,1.45,2.4,1.76%,2024-07-23
COHR,"Coherent Corp",11367490000,91.19,0.81,-259460000.,1.65,N/A,0.00%,2024-08-20
COIN,"Coinbase Global Inc Cl A",54928872000,99.53,2.26,94870000,3.4,N/A,0.00%,2024-08-01
COKE,"Coca-Cola Consolidated Inc",10100443000,16.38,66.66,408380000,0.78,2,0.19%,2024-08-07
COLB,"Columbia Banking Sys",4005401000,7.27,2.69,348720000,0.66,1.44,7.53%,2024-07-25
COLD,"Americold Realty Trust",7367998000,19.47,-1.14,-336220000.,0.59,0.88,3.39%,2024-08-01
COLM,"Columbia Sprtswr",4502884000,17.37,4.41,251400000,0.94,1.2,1.58%,2024-08-06
COO,"Cooper Companies",17104408000,25.11,3.41,294200000,0.98,N/A,0.00%,2024-05-30
COP,Conocophillips,131631056000,13.61,8.43,10957000000,1.23,3.25,2.89%,2024-08-01
COR,"Cencora Inc",44413968000,17.3,12.86,1745290000,0.45,2.015,0.90%,2024-08-07
COST,"Costco Wholesale",392648480000,54.5,15.83,6292000000,0.78,4.64,0.52%,2024-05-30
COTY,"Coty Inc",8513501000,24.33,0.4,508200000,1.91,N/A,0.00%,2024-08-27
CPAY,"Corpay Inc",19006358000,16.65,16.06,981890000,1.2,N/A,0.00%,2024-08-13
CPB,"Campbell Soup Company",13470755000,15.21,2.96,858000000,0.16,1.48,3.28%,2024-08-29
CPNG,"Coupang Inc Cl A",38745700000,80.42,0.26,1360000000,1.09,N/A,0.00%,2024-08-13
CPRI,"Capri Holdings Ltd",3894910000,9.55,3.49,-229000000.,2.01,N/A,0.00%,2024-08-08
CPRT,"Copart Inc",52175796000,38.49,1.4,1237740000,1.27,N/A,0.00%,2024-05-16
CPT,"Camden Property Trust",11475951000,15.74,4.08,403310000,0.88,4.06,3.77%,2024-08-01
CR,"Crane Company",8164449000,34.03,4.25,255900000,0.8,0.77,0.54%,2024-07-23
CRH,"CRH Plc ADR",50587496000,0,1.27,3178000000,1.3,1.523,2.07%,2024-05-10
CRI,"Carter's Inc",2247974000,9.86,6.26,232500000,1.22,3.1,5.03%,2024-07-26
CRL,"Charles River Laboratories Intl",10284485000,19.86,10.14,474620000,1.38,N/A,0.00%,2024-08-14
CRM,"Salesforce Inc",255031120000,37.66,6.93,4136000000,1.29,0.4,0.15%,2024-05-29
CROX,"Crocs Inc",8713163000,11.89,12.44,792570000,2,N/A,0.00%,2024-07-25
CRUS,"Cirrus Logic Inc",6911215000,24.97,5.15,274570000,0.94,N/A,0.00%,2024-08-01
CRWD,"Crowdstrike Holdings Inc",94832912000,586.64,0.66,89330000,1.1,N/A,0.00%,2024-06-04
CSCO,"Cisco Systems Inc",187944224000,13.73,3.43,12613000000,0.85,1.58,3.39%,2024-08-21
CSGP,"Costar Group Inc",29870218000,83.9,0.88,374700000,0.81,N/A,0.00%,2024-07-23
CSL,"Carlisle Companies Inc",19370816000,23.03,17.75,765800000,0.9,3.4,0.84%,2024-07-24
CSX,"CSX Corp",65099072000,18.43,1.82,3715000000,1.2,0.46,1.38%,2024-07-18
CTAS,"Cintas Corp",72213232000,48.53,14.48,1348010000,1.31,5.4,0.76%,2024-07-18
CTLT,"Catalent Inc",10266995000,0,-0.59,-256000000.,1.16,N/A,0.00%,2024-06-10
CTRA,"Coterra Energy Inc",19521230000,14.61,1.84,1625000000,0.24,0.82,3.13%,2024-08-01
CTSH,"Cognizant Tech Sol",33809532000,14.98,4.56,2126000000,1.05,1.18,1.74%,2024-08-07
